Name ,Phase,Release Date,Critic Rating,Audience Rating,My Tier,Format,Trailer
The Incredible Hulk,Phase 1,6/13/08,67%,70%,C,Movie,https://www.youtube.com/watch?v=xbqNb2PFKKA
Daredevil,20th Century Fox,2/14/03,43%,35%,C,Movie,https://www.youtube.com/watch?v=muPX9Oi7-EE
Fantastic Four: Rise of the Silver Surfer,20th Century Fox,6/15/07,38%,51%,C,Movie,https://www.youtube.com/watch?v=Wiu5eZ_7vSY
Spider-Man 3,Sony-Verse Ext.,5/4/07,63%,51%,C,Movie,https://www.youtube.com/watch?v=e5wUilOeOmg
Thor: The Dark World,Phase 2,11/8/13,66%,75%,D,Movie,https://www.youtube.com/watch?v=npvJ9FTgZbM
Fantastic Four (2015),20th Century Fox,8/7/15,9%,18%,D,Movie,https://www.youtube.com/watch?v=_rRoD28-WgU
Ghost Rider: Spirit of Vengeance,20th Century Fox,2/17/12,18%,31%,D,Movie,https://www.youtube.com/watch?v=UUObgxCoUgA
Dark Phoenix,X-Men Universe,6/7/19,22%,64%,D,Movie,https://www.youtube.com/watch?v=1-q8C_c-nlM
Captain Marvel,Phase 3,3/8/19,79%,45%,D,Movie,https://www.youtube.com/watch?v=Z1BCujX3pw8
Elektra,20th Century Fox,1/14/05,11%,29%,D,Movie,https://www.youtube.com/watch?v=5U2k0lR65rA
What If...? Season 3,Phase 5,12/22/24,80%,33%,D,Animated Show,https://www.youtube.com/watch?v=umiKiW4En9g
Kraven the Hunter,Sony-Verse Ext.,12/13/24,16%,74%,D,Movie,https://www.youtube.com/watch?v=I8gFw4-2RBM
The Wolverine,X-Men Universe,7/26/13,71%,69%,D,Movie,https://www.youtube.com/watch?v=u1VCP3O8wG0
X-Men Origins: Wolverine,X-Men Universe,5/1/09,38%,58%,D,Movie,https://www.youtube.com/watch?v=8IxT7WFL6Ec
X-Men: The Last Stand,X-Men Universe,5/26/06,57%,61%,D,Movie,https://www.youtube.com/watch?v=ZQ0v5dXbw7M
Morbius,Sony-Verse Ext.,4/1/22,17%,70%,D,Movie,https://www.youtube.com/watch?v=oZ6iiRrz1SY
She-Hulk,Phase 4,8/18/22,85%,33%,F,TV Show,https://www.youtube.com/watch?v=u7JsKhI2An0
Madame Web,Sony-Verse Ext.,2/14/24,13%,56%,F,Movie,https://www.youtube.com/watch?v=s_76M4c4LTo
The Punisher Season 2,Defenders Saga,1/18/19,61%,69%,N/A,TV Show,https://www.youtube.com/watch?v=jrLhP5sK2wI
Agent Carter,Non Canon MCU,1/6/15,86%,77%,N/A,TV Show,https://www.youtube.com/watch?v=V13W9gQ_1GA
Jessica Jones Season 1,Defenders Saga,11/20/15,94%,88%,N/A,TV Show,https://www.youtube.com/watch?v=nWHUjuJ8zxE
Jessica Jones Season 2,Defenders Saga,3/8/18,82%,67%,N/A,TV Show,https://www.youtube.com/watch?v=-u2AV8z_CX0
Jessica Jones Season 3,Defenders Saga,6/14/19,73%,77%,N/A,TV Show,https://www.youtube.com/watch?v=7DBKS2qH51I
Hit Monkey Season 2,Non Canon MCU,6/15/24,83%,95%,N/A,Animated Show,https://www.youtube.com/watch?v=ajywzplPMNY
Luke Cage Season 1,Defenders Saga,9/30/16,90%,69%,N/A,TV Show,https://www.youtube.com/watch?v=ORa4hPhGrpo
Luke Cage Season 2,Defenders Saga,6/22/18,85%,67%,N/A,TV Show,https://www.youtube.com/watch?v=5ogmCV2N9DA
