Name ,Watch Date,Release Date,Critic Rating,Audience Rating,My Rating,Trailer
Not Another Teen Movie,N/A,12/7/2001,32%,55%,3/5,
3 Idiots,N/A,12/23/2009,100%,93%,3/5,
Daddy's Home,N/A,12/25/2015,30%,50%,3/5,
Journey to the Center of Earth,N/A,7/11/2008,59%,50%,3/5,
Angry Birds,N/A,5/20/2016,44%,47%,3/5,
Hot Tub Time Machine,N/A,3/26/2010,64%,56%,3/5,
Spongebob: Sponge Out Of Water,N/A,1/28/2015,80%,54%,3/5,
Mean Girls,N/A,4/20/2004,84%,66%,2.5/5,
Bullet Train,N/A,5/5/2022,52%,76%,2.5/5,
Alien Romulus,N/A,8/16/2024,80%,85%,2.5/5,
Ted,N/A,6/29/2012,69%,73%,2.5/5,
Red One,N/A,11/15/2024,30%,89%,2.5/5,
Baywatch,N/A,5/25/2017,18%,55%,2.5/5,
X,N/A,3/18/2022,94%,76%,2/5,
Bottoms,N/A,8/25/2023,91%,89%,2/5,
Uncharted,N/A,1/28/2022,41%,89%,2/5,
The Interview,N/A,12/25/2014,51%,48%,2/5,
Tag,N/A,6/15/2018,55%,57%,2/5,
Sky High,N/A,7/29/2005,74%,57%,2/5,
Adventures of Sharkboy and Lavagirl,N/A,6/10/2005,20%,34%,2/5,
National Treasure: Book of Secrets,N/A,12/21/2007,35%,67%,2/5,
Booksmart,N/A,5/24/2019,96%,77%,1.5/5,
Hancock,N/A,7/2/2008,42%,59%,1.5/5,
Percy Jackson: Sea of Monsters,N/A,8/7/2013,42%,54%,1/5,
