Name ,Franchise,Watch Date,Release Date,Critic Rating,Audience Rating,My Rating,Trailer
Bee Movie,N/A,N/A,11/2/2007,49%,53%,3/5,https://www.youtube.com/watch?v=wz5dWmmqwN4
Sausage Party,N/A,N/A,8/12/2016,82%,50%,3/5,https://www.youtube.com/watch?v=9VoNgLnjzVg
Jumanji: The Next Level,N/A,N/A,12/13/2019,72%,87%,3/5,https://www.youtube.com/watch?v=rBxcF-r9Ibs
Borat Subsequent Moviefilm,N/A,N/A,10/23/2020,85%,62%,3/5,https://www.youtube.com/watch?v=JvPTCvUnNQA
Grown Ups 2,N/A,N/A,7/12/2013,8%,53%,3/5,https://www.youtube.com/watch?v=Sq5CIH0duMk
The Day After Tomorrow,N/A,N/A,5/28/2004,45%,50%,3/5,https://www.youtube.com/watch?v=Ku_IseK3xTc
The Dictator,N/A,N/A,5/16/2012,56%,45%,3/5,https://www.youtube.com/watch?v=cYplvwBvGA4
SPY Kids,N/A,N/A,3/18/2001,92%,47%,3/5,https://www.youtube.com/watch?v=GE5aHKJp6HI
Ted 2,N/A,N/A,6/26/2015,45%,50%,3/5,https://www.youtube.com/watch?v=S3AVcCggRnU
Not Another Teen Movie,N/A,N/A,12/7/2001,32%,55%,3/5,https://www.youtube.com/watch?v=f1sbQf58B50
3 Idiots,Bollywood,N/A,12/23/2009,100%,93%,3/5,https://www.youtube.com/watch?v=xvszmNXdM4w
Daddy's Home,N/A,N/A,12/25/2015,30%,50%,3/5,https://www.youtube.com/watch?v=OeknNwE4e1E
Journey to the Center of Earth,N/A,N/A,7/11/2008,59%,50%,3/5,https://www.youtube.com/watch?v=GKq7QlNz3CA
Angry Birds,N/A,N/A,5/20/2016,44%,47%,3/5,https://www.youtube.com/watch?v=QRmKa7vvct4
Hot Tub Time Machine,N/A,N/A,3/26/2010,64%,56%,3/5,https://www.youtube.com/watch?v=Bbkr8_-Hehk
Spongebob: Sponge Out Of Water,N/A,N/A,1/28/2015,80%,54%,3/5,https://www.youtube.com/watch?v=TGjbpO1toTc
Mean Girls,N/A,N/A,4/20/2004,84%,66%,2.5/5,https://www.youtube.com/watch?v=oDU84nmSDZY
Bullet Train,N/A,N/A,5/5/2022,52%,76%,2.5/5,https://www.youtube.com/watch?v=1dVtDp5pCyk
Alien Romulus,N/A,N/A,8/16/2024,80%,85%,2.5/5,https://www.youtube.com/watch?v=OzY2r2JXsDM
Ted,N/A,N/A,6/29/2012,69%,73%,2.5/5,https://www.youtube.com/watch?v=9fbo_pQvU7M
Red One,N/A,N/A,11/15/2024,30%,89%,2.5/5,https://www.youtube.com/watch?v=U8XH3W0cMss
Baywatch,N/A,N/A,5/25/2017,18%,55%,2.5/5,https://www.youtube.com/watch?v=eyKOgnaf0BU
X,N/A,N/A,3/18/2022,94%,76%,2/5,https://www.youtube.com/watch?v=Awg3cWuHfoc
Bottoms,N/A,N/A,8/25/2023,91%,89%,2/5,https://www.youtube.com/watch?v=vH5NAahf76s
Uncharted,N/A,N/A,1/28/2022,41%,89%,2/5,https://www.youtube.com/watch?v=eHp3MbsCbMg
The Interview,N/A,N/A,12/25/2014,51%,48%,2/5,https://www.youtube.com/watch?v=DkJA1rb8Nxo
Tag,N/A,N/A,6/15/2018,55%,57%,2/5,https://www.youtube.com/watch?v=kjC1zmZo30U
Sky High,N/A,N/A,7/29/2005,74%,57%,2/5,https://www.youtube.com/watch?v=G7aMWVN1ThM
Adventures of Sharkboy and Lavagirl,N/A,N/A,6/10/2005,20%,34%,2/5,https://www.youtube.com/watch?v=GHheHLDGy4w
National Treasure: Book of Secrets,N/A,N/A,12/21/2007,35%,67%,2/5,https://www.youtube.com/watch?v=UI0EQsDrLOA
Booksmart,N/A,N/A,5/24/2019,96%,77%,1.5/5,https://www.youtube.com/watch?v=VjGJm3wV5-I
Hancock,N/A,N/A,7/2/2008,42%,59%,1.5/5,https://www.youtube.com/watch?v=KS5E8r82l2g
Percy Jackson: Sea of Monsters,N/A,N/A,8/7/2013,42%,54%,1/5,https://www.youtube.com/watch?v=0JH6zvsNEDI
Cocaine Bear,N/A,N/A,2/24/2023,65%,71%,3/5,
The Black Phone,N/A,N/A,6/24/2022,81%,88%,4/5,
Kingsman: The Golden Circle,N/A,N/A,9/22/2017,51%,64%,2.5/5,
Sonic the Hedgehog 2,Sonic,N/A,4/8/2022,69%,96%,4.5/5,
Sonic the Hedgehog 3,Sonic,N/A,12/20/2024,86%,95%,4.5/5,
Why Him,N/A,N/A,12/23/2016,40%,51%,2.5/5,
